wav_filename,length,transcript
extracted/Y_11_18/6-y_11_18.wav,760364,  lora il palloncino si impiglia nell' albero e il bambino cercava di prenderlo
extracted/Y_11_18/6-y_11_18.wav,760364,  lora il palloncino si impiglia nell' albero e il bambino cercava di prenderlo
extracted/Y_31_17/9-y_31_17.wav,571436,  quando ce le aveva in mano stavaproprio  era proprio soddi  soddisfatto percha li stava mangiando
extracted/Y_29_19/5-y_29_19.wav,1011500,  ri  intanto il cane visto che non era riuscito a prendere il topo si fece male e il topo invece scappa via
extracted/Y_4_18/08-y_4_18.wav,1043756,   cane ci prova
extracted/M_17_17/4-m_17_17.wav,1018412,  ntre un bambino stava camminando con un palloncino in mano e le salcicce in una borsa
extracted/M_15_17/06-m_15_17.wav,619820,   bambino si a spaventato e ha fatto volare via il palloncino
extracted/Y_2_18/2-y_2_18.wav,794924,   cane voleva prendere il topo
extracted/M_17_18/02-m_17_18.wav,762668,  il topo stava  aveva sentito i passi del cane e scappa via
extracted/Y_5_17/5-y_5_17.wav,263852,  il cane aveva visto il sacchetto di salcicce
extracted/Y_50_17/6-y_50_17.wav,900908,    il cane mentre  mentre  mentre il bambino era  era un po' distratto vide quelle squisite salsicce quindi 
extracted/Y_50_17/5-y_50_17.wav,900908,  i poi cerca  cerca di prendere ilpallon  il palloncino
extracted/M_33_17/02-m_33_17.wav,665900,  rcha a appena tornato dalla spesa e ha delle salsicce nella busta della spesa e anche in mano un palloncino
extracted/M_19_18/7-m_19_18.wav,596780,  po il bambino con un salto prese il palloncino ed era felice di riaverlo ma il cane soddis  soddisfatto delle sue salsicce se l'
extracted/M_23_17/11-m_23_17.wav,301868,   p 
extracted/Y_2_18/7-y_2_18.wav,794924,   cane aveva pensato di mangiare le salsicce
extracted/M_46_17/10-m_46_17.wav,893996,   cane intanto apre la borsa
extracted/M_16_18/08-m_16_18.wav,541484,  i voleva recuperarlo pera il cane ha notato le salsicce che c' erano
extracted/Y_14_19/10-y_14_19.wav,905516,  il cane fosse felice percha ha mangiato le salsicce
extracted/Y_4_19/03-y_4_19.wav,963116,  intanto un bambino con la spesa tornato dal supermercato vide il cane che stava acchiappando il topolino
extracted/Y_29_19/1-y_29_19.wav,1009196,   era una volta un cane molto giocherellone che vide un topo vicino a un albero
extracted/M_33_18/11-m_33_18.wav,525356,  il cane nel frattempo stava mangiando la salsiccia
extracted/M_27_18/06-m_27_18.wav,778796,  qua  e percia il topolino riusca a scappare
extracted/Y_7_19/09-y_7_19.wav,594476,  atte contro l' albero e riusca a prenderlo
extracted/M_28_18/15-m_28_18.wav,357164,  cise di andarlo a riprendere
extracted/M_35_17/3-m_35_17.wav,555308,   bambino con un palloncino euna  e una borsa piena di salsicce passa di la
extracted/M_16_17/07-m_16_17.wav,778796,   bambino fece un salto e riprende il suo palloncino
extracted/M_21_17/9-m_21_17.wav,592172,  ha lo preso e ritorna indietro dal sacchetto
extracted/Y_10_19/7-y_10_19.wav,497708,   cane intanto ha raggiunto il sacchetto delle salsicce e le ha mangiate tutte
extracted/M_28_18/12-m_28_18.wav,357164,  i c' era un bambino che stava camminando con la borsa del  della spesa con dentro delle salsicce e un palloncino in mano
extracted/Y_4_19/07-y_4_19.wav,963116,   bambino voleva riprendersi il palloncino e il cane vide le salsicce nel sacchetto
extracted/Y_2_17/4-y_2_17.wav,286892,   bambino si a spaventato e il palloncino a andato sull' albero
extracted/M_33_17/09-m_33_17.wav,665900,  i 
extracted/M_8_17/10-m_8_17.wav,523052,    il cane intanto mangiava le salsicce e anche lui era molto sodd  soddisfatto che a riuscito a mangiare le salsicce
extracted/M_15_17/02-m_15_17.wav,619820,  sa il cane vede il topo
extracted/Y_6_19/5-y_6_19.wav,1481516,   ragazzo poi prese il suo palloncino e fu felice di riabbracciarlo
extracted/M_46_17/07-m_46_17.wav,893996,  lora il bambino decide di riprenderselo
extracted/M_36_18/2-m_36_18.wav,610604,  ciamo dietro di lui c' era  a passato un ragazzo con un palloncino e una borsa con le salsicce
extracted/Y_14_18/01-y_14_18.wav,594476,   cane giocherellone vide un topo che a seduto a un albero
extracted/M_42_17/1-m_42_17.wav,1163564,   cane vide un topo seduto accanto a un albero
extracted/M_28_18/04-m_28_18.wav,357164,   perfetto
extracted/Y_31_17/2-y_31_17.wav,571436,   er 
extracted/Y_30_19/12-y_30_19.wav,516140,  one
extracted/Y_26_19/04-y_26_19.wav,513836,   bambino per lo spavento lascia il palloncino volare in aria
extracted/M_28_18/19-m_28_18.wav,357164,  ra intanto il cane stava mangiando le salsicce
extracted/M_27_18/11-m_27_18.wav,778796,  praticamenteilpallon  e il bambino vuole riprendere il palloncino
extracted/Y_7_19/01-y_7_19.wav,594476,   cane 
extracted/Y_5_17/3-y_5_17.wav,263852,  l'ha  e l' ha visto pera dopo il palloncino x andato su un albero
extracted/M_57_17/8-m_57_17.wav,698156,  mentre il bambino riprendeva il palloncino il cane aveva visto delles  delle salsicce e ha iniziato a mangiarle
extracted/Y_18_19/2-y_18_19.wav,707372,   cane vide il topo seduto edeciseche  e decise diprend  di  che lo voleva prendere
extracted/M_17_17/3-m_17_17.wav,1018412,  il cane sbatte contro l' albero
extracted/Y_3_18/5-y_3_18.wav,921644,  nto il cane vide le salsicce
extracted/M_7_17/8-m_7_17.wav,610604,  ntre il cane x riesce a mangiare le salsicce
extracted/M_25_18/07-m_25_18.wav,405548,   topino anda nell' albero e lui sbatta la testa contro l' albero
extracted/M_16_18/10-m_16_18.wav,541484,   bambino le ha recuperate pera non si a accorto che il cane le stava mangiando
extracted/M_35_17/6-m_35_17.wav,555308,  ando il bambino 
extracted/M_26_18/01-m_26_18.wav,718892,   era questo cane molto allegro e giocherellone che un giorno vide un topo vicino a un albero
extracted/M_42_17/3-m_42_17.wav,1163564,  tanto st  di la sta passando un bambino con un palloncino e le salsicce e vede che il cane stava inseguendo il topo
extracted/Y_27_17/01-y_27_17.wav,555308,   giorno un cane vide questo topo davanti a un albero
extracted/Y_26_19/08-y_26_19.wav,513836,  i il bambino riusca a prendere il palloncino
extracted/M_28_18/06-m_28_18.wav,357164,  n mi ricordo com 
extracted/M_22_18/06-m_22_18.wav,679724,  po qua
extracted/Y_27_17/11-y_27_17.wav,555308,  intanto il bambino riprese il palloncino
extracted/M_59_17/03-m_59_17.wav,548396,  cino c' era un bambino allegro cheaveva  che era tornato da  afar  dalla spesa con delle salsicce e un palloncino in
extracted/Y_10_19/5-y_10_19.wav,497708,    ha fatto un grande salto e a riuscito a riprenderlo
extracted/Y_3_19/2-y_3_19.wav,963116,   un tratto un bambino vide il cane che rincorreva il topo
extracted/M_8_17/06-m_8_17.wav,523052,   cane non fu abbastanza veloce per prenderlo
extracted/M_8_17/09-m_8_17.wav,523052,   bambino con un salto riusca a prenderlo efu  efumolto  fu soddisfatto
extracted/M_58_17/5-m_58_17.wav,783404,  bamb  il bambino cerca di slegare il  il palloncino mentre che il cane vide la sua borsa della spesa con dentro le
extracted/Y_32_19/2-y_32_19.wav,642860,  rca di prenderlo e fece un salto ma non fu abbastanza veloce
extracted/M_37_18/1-m_37_18.wav,665900,  lora a un giorno un cane vide un topo vicino a un albero
extracted/M_23_17/12-m_23_17.wav,301868,  poi il cane ha visto le salsicce e se l' a mangiate
